track_name,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit,track_popularity,pop_rank,pop_denserank,track_duration
I Think He Knows,0.897000015,0.365999997,-8.029000282,1,0.056899998,0.00889,0.000353,0.071500003,0.416000009,100.0029984,0,79,39,13,02:53.0
Sparks Fly (Taylor’s Version),0.588,0.758000016,-2.346999884,1,0.0305,0.0251,0,0.130999997,0.386999995,114.9909973,0,79,39,13,04:21.0
Death By A Thousand Cuts,0.712000012,0.731999993,-6.754000187,1,0.062899999,0.453999996,0,0.319000006,0.312999994,94.07099915,0,79,39,13,03:18.0
Better Than Revenge (Taylor's Version),0.495999992,0.88499999,-2.969000101,0,0.080300003,0.000886,0.00E+00,0.191,0.665000021,145.8630066,0,79,39,13,03:40.0
Dancing With Our Hands Tied,0.624000013,0.690999985,-6.68599987,0,0.195999995,0.060400002,1.10E-05,0.137999997,0.284000009,160.0240021,0,79,39,13,03:31.0
False God,0.739000022,0.319999993,-10.86200047,0,0.238999993,0.736000001,0.000147,0.111000001,0.351000011,79.97000122,0,79,39,13,03:20.0
New Year’s Day,0.661000013,0.150999993,-12.86400032,1,0.035399999,0.921000004,0,0.129999995,0.230000004,94.92199707,0,78,45,14,03:55.0
This Is Why We Can't Have Nice Things,0.566999972,0.788999975,-5.986000061,1,0.115000002,0.0156,0,0.381999999,0.437999994,163.9600067,0,78,45,14,03:27.0
Dear John (Taylor's Version),0.419,0.469999999,-5.015999794,1,0.0296,0.023600001,0,0.163000003,0.133000001,119.2939987,0,78,45,14,06:45.0
Mean (Taylor's Version),0.523999989,0.691999972,-3.865999937,1,0.036899999,0.31099999,0.00E+00,0.192000002,0.620999992,163.8739929,0,78,45,14,03:58.0
I Forgot That You Existed,0.663999975,0.316000015,-10.34500027,1,0.518999994,0.298000008,2.03E-06,0.081200004,0.541000009,92.875,0,78,45,14,02:50.0
All Too Well (Taylor's Version),0.439999998,0.527999997,-7.809000015,1,0.0317,0.017100001,0.00203,0.233999997,0.131999999,185.9720001,0,77,50,15,05:29.0
Speak Now (Taylor's Version),0.726999998,0.676999986,-2.871000051,1,0.032499999,0.247999996,0.00E+00,0.143000007,0.638999999,118.9950027,0,77,50,15,04:02.0
So It Goes...,0.574000001,0.610000014,-7.282999992,1,0.073200002,0.122000001,1.10E-06,0.129999995,0.374000013,74.95700073,0,77,50,15,03:47.0
The Story Of Us (Taylor's Version),0.514999986,0.781000018,-2.60800004,1,0.0535,0.00192,0.00E+00,0.054000001,0.569999993,139.845993,0,77,50,15,04:27.0
Last Kiss (Taylor's Version),0.550000012,0.365999997,-8.460000038,1,0.0276,0.446999997,4.43E-06,0.101000004,0.159999996,79.40100098,0,76,54,16,06:09.0
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),0.497999996,0.610000014,-5.09800005,1,0.0363,0.270999998,0.00E+00,0.223000005,0.474000007,79.91799927,0,76,54,16,04:05.0
Now That We Don't Talk (Taylor's Version) (From The Vault),0.800000012,0.500999987,-9.331999779,1,0.034000002,0.159999996,7.14E-05,0.087399997,0.083099999,110.0130005,0,75,56,17,02:26.0
my tears ricochet,0.456,0.264999986,-10.66300011,1,0.0328,0.81400001,0,0.067900002,0.112000003,129.9470062,0,75,56,17,04:15.0
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),0.575999975,0.569999993,-7.925000191,1,0.043400001,0.361999989,0,0.066799998,0.377999991,147.8029938,0,75,56,17,05:06.0
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),0.546999991,0.855000019,-4.699999809,1,0.059700001,0.0164,0,0.143999994,0.282000005,131.072998,0,75,56,17,04:26.0
Haunted (Taylor's Version),0.426999986,0.915000021,-1.909000039,1,0.061900001,0.00667,0.00E+00,0.221000001,0.354999989,162.201004,0,75,56,17,04:05.0
the 1,0.779999971,0.361000001,-6.941999912,1,0.048,0.75,7.14E-06,0.108000003,0.163000003,139.9019928,1,75,56,17,03:30.0
champagne problems,0.462000012,0.239999995,-12.07699966,1,0.037700001,0.920000017,0,0.112999998,0.319999993,171.3190002,1,75,56,17,04:04.0
cardigan,0.611999989,0.579999983,-8.57199955,0,0.041900001,0.524999976,4.14E-04,0.25999999,0.533999979,130.0449982,0,75,56,17,03:59.0
the lakes - bonus track,0.312999994,0.257999986,-11.53199959,1,0.0383,0.842000008,1.30E-06,0.094800003,0.268000007,179.9470062,0,74,64,18,03:31.0
Slut! (Taylor's Version) (From The Vault),0.591000021,0.412,-13.27000046,1,0.086300001,0.308999985,0.000199,0.060800001,0.328000009,155.875,0,74,64,18,03:00.0
When Emma Falls in Love (Taylor’s Version) (From The Vault),0.474000007,0.763000011,-4.631999969,1,0.050500002,0.158999994,0,0.137999997,0.231000006,78.13300323,0,74,64,18,04:12.0
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),0.501999974,0.533999979,-5.953999996,1,0.027799999,0.039900001,0.00E+00,0.0977,0.155000001,94.05000305,0,74,64,18,04:59.0
it’s time to go - bonus track,0.592000008,0.409999996,-12.42599964,1,0.039700001,0.800999999,1.39E-05,0.090000004,0.416000009,151.9230042,0,74,64,18,04:14.0
willow,0.39199999,0.574000001,-9.194999695,1,0.170000002,0.833000004,1.79E-03,0.144999996,0.528999984,81.11199951,0,74,64,18,03:34.0
exile (feat. Bon Iver),0.310000002,0.374000013,-8.463999748,1,0.0275,0.760999978,2.46E-05,0.109999999,0.159999996,75.93800354,0,74,64,18,04:45.0
illicit affairs,0.528999984,0.30399999,-10.56700039,1,0.035599999,0.861999989,0.00E+00,0.108000003,0.439999998,119.5800018,0,74,64,18,03:10.0
august,0.386999995,0.634000003,-9.222000122,1,0.0363,0.552999973,6.93E-05,0.093099996,0.419999987,89.56700134,0,74,64,18,04:21.0
tolerate it,0.316000015,0.361000001,-10.38099957,1,0.048799999,0.878000021,2.67E-05,0.079700001,0.221000001,74.95200348,1,74,64,18,04:05.0
‘tis the damn season,0.574999988,0.433999985,-8.19299984,1,0.031199999,0.735000014,6.59E-05,0.104999997,0.34799999,145.9160004,0,73,74,19,03:49.0
White Horse (Taylor’s Version),0.423000008,0.51700002,-7.376999855,1,0.048599999,0.368999988,0.00E+00,0.177000001,0.365999997,185.2619934,0,73,74,19,03:54.0
this is me trying,0.510999978,0.477999985,-9.836999893,1,0.032200001,0.312000006,2.30E-05,0.147,0.407999992,135.8820038,0,73,74,19,03:15.0
mirrorball,0.549000025,0.416999996,-10.06400013,1,0.035,0.68599999,1.90E-06,0.060400002,0.347000003,110.137001,0,73,74,19,03:28.0
invisible string,0.651000023,0.458999991,-11.12800026,0,0.050700001,0.859000027,6.63E-05,0.104999997,0.453999996,83.45500183,0,73,74,19,04:12.0
Fifteen (Taylor’s Version),0.559000015,0.646000028,-4.610000134,1,0.0272,0.115999997,0,0.319999993,0.289000005,95.46600342,0,73,74,19,04:54.0
the last great american dynasty,0.688000023,0.652999997,-8.557999611,1,0.0403,0.481000006,4.14E-03,0.105999999,0.700999975,147.9909973,1,73,74,19,03:51.0
Say Don't Go (Taylor's Version) (From The Vault),0.633000016,0.550999999,-8.296999931,1,0.0341,0.066,9.94E-06,0.127000004,0.164000005,109.9499969,0,73,74,19,04:39.0
Come Back...Be Here (Taylor's Version),0.460000008,0.632000029,-6.031000137,1,0.030200001,0.015799999,0,0.082199998,0.398999989,79.84600067,0,73,74,19,03:43.0
Soon You’ll Get Better (feat. The Chicks),0.432999998,0.181999996,-12.56599998,1,0.064099997,0.907000005,0,0.123000003,0.421000004,207.4759979,0,73,74,19,03:21.0
Ours (Taylor’s Version),0.535000026,0.488000005,-8.26099968,1,0.027799999,0.449000001,0,0.111000001,0.34799999,159.8130035,0,73,74,19,03:55.0
Style (Taylor's Version),0.510999978,0.822000027,-4.784999847,0,0.039700001,0.000421,0.0197,0.089900002,0.305000007,94.86799622,0,73,74,19,03:51.0
Forever & Always (Taylor’s Version),0.59799999,0.82099998,-4.433000088,1,0.0447,0.0231,0,0.143000007,0.672999978,128.0299988,0,73,74,19,03:45.0
It’s Nice To Have A Friend,0.736999989,0.174999997,-9.911999702,1,0.040100001,0.971000016,0.000337,0.171000004,0.545000017,70.00800323,0,73,74,19,02:30.0
Begin Again (Taylor's Version),0.518999994,0.52700001,-7.672999859,1,0.0274,0.075000003,0,0.131999999,0.26699999,78.91500092,0,73,74,19,03:58.0
Blank Space (Taylor's Version),0.73299998,0.73299998,-5.375999928,1,0.067000002,0.088500001,0,0.167999998,0.700999975,96.05699921,0,72,89,20,03:51.0
Never Grow Up (Taylor's Version),0.685000002,0.323000014,-7.103000164,1,0.028899999,0.851000011,0.00E+00,0.197999999,0.569000006,125.0579987,0,72,89,20,04:52.0
Out Of The Woods (Taylor's Version),0.545000017,0.88499999,-5.967999935,1,0.0447,0.000537,5.59E-05,0.38499999,0.206,92.02100372,0,72,89,20,03:55.0
Treacherous (Taylor's Version),0.644999981,0.592999995,-6.506000042,1,0.0288,0.034400001,0.000127,0.129999995,0.298999995,109.9840012,0,72,89,20,04:02.0
gold rush,0.512000024,0.462000012,-10.49100018,1,0.040800001,0.829999983,0.165999994,0.120999999,0.352999985,112.0500031,1,72,89,20,03:05.0
betty,0.595000029,0.375999987,-8.767000198,1,0.025599999,0.588999987,0,0.098899998,0.476000011,95.94599915,1,72,89,20,04:54.0
"no body, no crime (feat. HAIM)",0.546000004,0.612999976,-7.589000225,0,0.0264,0.418000013,0,0.103,0.535000026,79.01499939,0,72,89,20,03:35.0
evermore (feat. Bon Iver),0.389999986,0.270000011,-10.67300034,1,0.0308,0.936999977,2.27E-03,0.111000001,0.319999993,125.177002,0,72,89,20,05:04.0
"You're On Your Own, Kid",0.694000006,0.386000007,-10.31200027,1,0.059700001,0.423000008,1.05E-05,0.126000002,0.389999986,120.0439987,0,72,89,20,03:14.0
Sad Beautiful Tragic (Taylor's Version),0.601000011,0.405999988,-11.82699966,1,0.0275,0.621999979,9.19E-05,0.133000001,0.231999993,130.0590057,0,72,89,20,04:44.0
seven,0.601999998,0.493999988,-10.81299973,1,0.0277,0.888000011,2.59E-05,0.0902,0.374000013,94.95500183,0,72,89,20,03:28.0
State Of Grace (Taylor's Version),0.593999982,0.713,-5.31400013,1,0.050299998,0.000328,0,0.114,0.328000009,129.9579926,0,72,89,20,04:55.0
Suburban Legends (Taylor's Version) (From The Vault),0.700999975,0.625,-8.803999901,1,0.035999998,0.207000002,0.00E+00,0.104999997,0.323000014,118.0360031,0,71,101,21,02:51.0
Maroon,0.649999976,0.397000015,-8.237000465,1,0.036499999,0.060899999,1.40E-06,0.089000002,0.038199998,108.0550003,1,71,101,21,03:38.0
marjorie,0.535000026,0.56099999,-11.60900021,1,0.0484,0.875999987,1.36E-04,0.115000002,0.287,96.10299683,0,71,101,21,04:17.0
Anti-Hero,0.637000024,0.648999989,-6.590000153,1,0.058400001,0.115000002,1.22E-06,0.147,0.497000009,96.93499756,0,71,101,21,03:20.0
happiness,0.559000015,0.333999991,-10.7329998,1,0.037599999,0.870000005,0,0.114,0.210999995,122.0790024,1,71,101,21,05:15.0
